OUT;00:00:23;190;-32
IN;00:00:25;194;554
IN;00:00:32;213;442
IN;00:00:33;223;499
IN;00:00:36;253;555
IN;00:00:37;228;556
IN;00:00:38;223;584
IN;00:00:39;210;595
IN;00:00:41;220;581
OUT;00:00:43;82;-233
IN;00:00:47;64;472
IN;00:00:48;61;536
IN;00:00:49;153;596
OUT;00:00:52;136;-165
IN;00:00:53;120;511
OUT;00:00:54;80;-166
IN;00:00:54;115;521
IN;00:00:54;189;101
IN;00:00:56;108;441
OUT;00:00:58;76;-171
